id,address,city,housing_type,price,price_per_m2,price_diff%,area,ground_area,rooms,year_built,energy_label,monthly_cost,date_added,date_removed,days_on_sale,status,retrieved,link
1905584,"Vanløse Allé 11, 1. TV",2720 Vanløse,Ejerlejlighed,2095000,41078,-0.02,51,0,2,1937-01-01,C,2695,2022-06-17,,134,online,2022-10-26 20:28:26,/bolig/1905584/vanloese_alle_11_1_tv_2720_vanloese
1906877,"Linde Allé 11, 3. 302",2720 Vanløse,Ejerlejlighed,1795000,36632,-0.1,49,0,2,1971-01-01,D,2463,2022-06-21,,130,online,2022-10-26 20:28:26,/bolig/1906877/linde_alle_11_3_302_2720_vanloese
1907708,Slotsherrensvej 112B,2720 Vanløse,Villalejlighed,2995000,39933,-0.17,75,695,2,1932-01-01,C,2582,2022-06-23,,128,online,2022-10-26 20:28:26,/bolig/1907708/slotsherrensvej_112b_2720_vanloese
1907379,Birkholmvej 33,2720 Vanløse,Villa,7995000,39000,-0.2,205,723,6,1939-01-01,D,6617,2022-06-22,,129,online,2022-10-26 20:28:26,/bolig/1907379/birkholmvej_33_2720_vanloese
1908472,Jyllingevej 108,2720 Vanløse,Villa,3595000,57983,-0.08,62,528,3,1940-01-01,D,4767,2022-06-27,,124,online,2022-10-26 20:28:26,/bolig/1908472/jyllingevej_108_2720_vanloese
1908769,"Bratskovvej 19, st.. th.",2720 Vanløse,Ejerlejlighed,7295000,50310,0.0,145,916,6,1939-01-01,D,5041,2022-06-27,,124,online,2022-10-26 20:28:26,/bolig/1908769/bratskovvej_19_st_th_2720_vanloese
1909017,"Bratskovvej 12, st.",2720 Vanløse,Villalejlighed,6995000,63590,-0.04,110,771,4,1923-01-01,D,3400,2022-06-28,,123,online,2022-10-26 20:28:26,/bolig/1909017/bratskovvej_12_st_2720_vanloese
1910338,"Rydsletten 21, 1. th.",2720 Vanløse,Ejerlejlighed,2295000,43301,-0.02,53,0,2,1939-01-01,D,2345,2022-07-01,,120,online,2022-10-26 20:28:26,/bolig/1910338/rydsletten_21_1_th_2720_vanloese
1910346,"Flakholmen 22, 1. th.",2720 Vanløse,Ejerlejlighed,2750000,39855,-0.05,69,1913,3,1938-01-01,D,3113,2022-07-01,,120,online,2022-10-26 20:28:26,/bolig/1910346/flakholmen_22_1_th_2720_vanloese
1910638,"Himmerlandsvej 23, st. tv",2720 Vanløse,Ejerlejlighed,2195000,39196,-0.04,56,0,2,1934-01-01,D,2742,2022-07-01,,120,online,2022-10-26 20:28:26,/bolig/1910638/himmerlandsvej_23_st_tv_2720_vanloese
1910788,"Ådalsvej 63, ST. TH",2720 Vanløse,Ejerlejlighed,1495000,38333,-0.06,39,0,1,1937-01-01,D,1647,2022-07-03,,118,online,2022-10-26 20:28:26,/bolig/1910788/aadalsvej_63_st_th_2720_vanloese
1910961,"Markskellet 1, 3. mf.",2720 Vanløse,Ejerlejlighed,2095000,37410,-0.07,56,0,2,1936-01-01,C,2698,2022-07-04,,117,online,2022-10-26 20:28:26,/bolig/1910961/markskellet_1_3_mf_2720_vanloese
1910951,"Vinkelager 1, ST. TV",2720 Vanløse,Ejerlejlighed,2200000,37931,-0.03,58,0,2,1957-01-01,D,2080,2022-07-04,,117,online,2022-10-26 20:28:26,/bolig/1910951/vinkelager_1_st_tv_2720_vanloese
1911346,Klingseyvej 10,2720 Vanløse,Villa,9795000,49221,0.0,199,686,7,1899-01-01,C,6552,2022-07-05,,116,online,2022-10-26 20:28:26,/bolig/1911346/klingseyvej_10_2720_vanloese
1912130,"Nedertoften 25, 1. tv.",2720 Vanløse,Ejerlejlighed,2448000,41491,-0.12,59,0,2,1939-01-01,D,3313,2022-07-07,,114,online,2022-10-26 20:28:28,/bolig/1912130/nedertoften_25_1_tv_2720_vanloese
1911985,"Langdraget 31, st. th",2720 Vanløse,Ejerlejlighed,2795000,48189,-0.07,58,0,3,1935-01-01,D,2990,2022-07-07,,114,online,2022-10-26 20:28:28,/bolig/1911985/langdraget_31_st_th_2720_vanloese
1912536,"Kærholmen 17, 2. th.",2720 Vanløse,Ejerlejlighed,2095000,39528,-0.14,53,5500,2,1939-01-01,D,2345,2022-07-08,,113,online,2022-10-26 20:28:28,/bolig/1912536/kaerholmen_17_2_th_2720_vanloese
1913057,"Sallingvej 62, st.. th.",2720 Vanløse,Ejerlejlighed,2995000,29653,0.0,101,1090,3,1941-01-01,D,5602,2022-07-11,,110,online,2022-10-26 20:28:28,/bolig/1913057/sallingvej_62_st_th_2720_vanloese
1914047,"Dybendalsvej 71, ST. TH",2720 Vanløse,Ejerlejlighed,2650000,36301,0.0,73,0,2,1957-01-01,D,3573,2022-07-13,,108,online,2022-10-26 20:28:28,/bolig/1914047/dybendalsvej_71_st_th_2720_vanloese
1914925,"Sallingvej 64, 2. th",2720 Vanløse,Ejerlejlighed,2050000,32031,-0.05,64,0,2,1941-01-01,D,2971,2022-07-18,,103,online,2022-10-26 20:28:28,/bolig/1914925/sallingvej_64_2_th_2720_vanloese
1915025,Tybjergvej 65A,2720 Vanløse,Rækkehus,3995000,39554,-0.05,101,735,3,1971-01-01,C,3200,2022-07-18,,103,online,2022-10-26 20:28:28,/bolig/1915025/tybjergvej_65a_2720_vanloese
1915079,Slotsherrensvej 131B,2720 Vanløse,Rækkehus,5250000,37500,0.0,140,618,4,1976-01-01,C,3363,2022-07-18,,103,online,2022-10-26 20:28:28,/bolig/1915079/slotsherrensvej_131b_2720_vanloese
1915415,"Bogholder Allé 15, st. tv.",2720 Vanløse,Ejerlejlighed,1998000,32225,-0.13,62,0,2,1987-01-01,E,3395,2022-07-19,,102,online,2022-10-26 20:28:28,/bolig/1915415/bogholder_alle_15_st_tv_2720_vanloese
1915237,"Himmerlandsvej 21, 3. tv.",2720 Vanløse,Ejerlejlighed,2395000,39916,-0.04,60,762,2,1934-01-01,D,2437,2022-07-19,2022-10-29,100,removed,2022-10-26 20:28:28,/bolig/1915237/himmerlandsvej_21_3_tv_2720_vanloese
1915416,"Hyltebjerg Allé 1, st. th",2720 Vanløse,Ejerlejlighed,2495000,41583,-0.07,60,0,3,1938-01-01,D,3560,2022-07-19,,102,online,2022-10-26 20:28:28,/bolig/1915416/hyltebjerg_alle_1_st_th_2720_vanloese
1915743,Nedertoften 19 2 tv,2720 Vanløse,Ejerlejlighed,2255000,39561,-0.06,57,0,2,1939-01-01,D,2887,2022-07-20,,101,online,2022-10-26 20:28:28,/bolig/1915743/nedertoften_19_2_tv_2720_vanloese
1916203,"Nedertoften 27, st. th.",2720 Vanløse,Ejerlejlighed,2195000,41415,-0.05,53,0,2,1939-01-01,D,2469,2022-07-22,,99,online,2022-10-26 20:28:28,/bolig/1916203/nedertoften_27_st_th_2720_vanloese
1916552,"Slotsherrensvej 132D, 1.",2720 Vanløse,Villalejlighed,4345000,37456,0.0,116,0,4,1916-01-01,D,3885,2022-07-25,,96,online,2022-10-26 20:28:28,/bolig/1916552/slotsherrensvej_132d_1_2720_vanloese
1916726,"Flakholmen 13, st. tv",2720 Vanløse,Ejerlejlighed,2345000,38442,-0.1,61,0,3,1938-01-01,D,3024,2022-07-26,,95,online,2022-10-26 20:28:28,/bolig/1916726/flakholmen_13_st_tv_2720_vanloese
1916874,"Åløkkevej 29, 2. tv.",2720 Vanløse,Ejerlejlighed,2695000,42109,-0.07,64,2402,3,1937-01-01,D,2839,2022-07-26,,95,online,2022-10-26 20:28:28,/bolig/1916874/aaloekkevej_29_2_tv_2720_vanloese
1916847,Svankærvej 10,2720 Vanløse,Villa,6195000,52948,-0.11,117,655,6,1932-01-01,C,5819,2022-07-26,,95,online,2022-10-26 20:28:28,/bolig/1916847/svankaervej_10_2720_vanloese
1916951,"Jyllingevej 104, 2.",2720 Vanløse,Ejerlejlighed,2550000,32278,-0.05,79,0,3,1931-01-01,D,3601,2022-07-27,,94,online,2022-10-26 20:28:28,/bolig/1916951/jyllingevej_104_2_2720_vanloese
1917353,"Ålekistevej 34, 3. tv.",2720 Vanløse,Ejerlejlighed,1695000,39418,-0.06,43,0,1,1957-01-01,D,1749,2022-07-28,,93,online,2022-10-26 20:28:28,/bolig/1917353/aalekistevej_34_3_tv_2720_vanloese
1918005,"Ådalsvej 59, 1. mf.",2720 Vanløse,Ejerlejlighed,1899000,44162,-0.05,43,2807,2,1937-01-01,D,1866,2022-08-01,,89,online,2022-10-26 20:28:28,/bolig/1918005/aadalsvej_59_1_mf_2720_vanloese
1918002,"Holsteinborgvej 10, 1.",2720 Vanløse,Villalejlighed,4295000,61357,0.0,70,0,3,1929-01-01,D,2052,2022-08-01,,89,online,2022-10-26 20:28:28,/bolig/1918002/holsteinborgvej_10_1_2720_vanloese
1918366,"Bogholder Allé 76A, 3. TV",2720 Vanløse,Ejerlejlighed,2275000,40625,-0.05,56,0,2,1958-01-01,C,2349,2022-08-02,,88,online,2022-10-26 20:28:28,/bolig/1918366/bogholder_alle_76a_3_tv_2720_vanloese
1918708,"Vinkelager 7, 2. th.",2720 Vanløse,Ejerlejlighed,2245000,40089,-0.06,56,1373,2,1957-01-01,D,2846,2022-08-03,,87,online,2022-10-26 20:28:28,/bolig/1918708/vinkelager_7_2_th_2720_vanloese
1918701,"Vanløse Allé 45A, 1. tv.",2720 Vanløse,Ejerlejlighed,2250000,43269,-0.1,52,0,2,1940-01-01,D,2483,2022-08-03,,87,online,2022-10-26 20:28:28,/bolig/1918701/vanloese_alle_45a_1_tv_2720_vanloese
1918700,"Slotsherrensvej 13, st.. th.",2720 Vanløse,Ejerlejlighed,2298000,45960,-0.08,50,0,2,1936-01-01,C,2739,2022-08-03,,87,online,2022-10-26 20:28:28,/bolig/1918700/slotsherrensvej_13_st_th_2720_vanloese
1918670,"Morsøvej 12, 1. TV",2720 Vanløse,Ejerlejlighed,2350000,43518,-0.04,54,0,2,1926-01-01,C,3510,2022-08-03,,87,online,2022-10-26 20:28:28,/bolig/1918670/morsoevej_12_1_tv_2720_vanloese
1918789,"Markskellet 8, st.. th.",2720 Vanløse,Ejerlejlighed,2695000,32469,-0.1,83,0,3,1932-01-01,D,2933,2022-08-03,,87,online,2022-10-26 20:28:28,/bolig/1918789/markskellet_8_st_th_2720_vanloese
1918917,Rebildvej 24,2720 Vanløse,Villa,8295000,40266,-0.02,206,410,10,1935-01-01,C,5108,2022-08-04,,86,online,2022-10-26 20:28:28,/bolig/1918917/rebildvej_24_2720_vanloese
1919271,"Kilholmvej 29A, 2. TV",2720 Vanløse,Ejerlejlighed,2395000,43545,-0.04,55,0,2,1940-01-01,C,2035,2022-08-05,,85,online,2022-10-26 20:28:28,/bolig/1919271/kilholmvej_29a_2_tv_2720_vanloese
1919262,"Jernbane Allé 16, 2. tv",2720 Vanløse,Ejerlejlighed,2525000,43534,-0.05,58,0,2,1939-01-01,D,2549,2022-08-05,,85,online,2022-10-26 20:28:28,/bolig/1919262/jernbane_alle_16_2_tv_2720_vanloese
1919281,Primulavej 10,2720 Vanløse,Villa,9995000,46059,0.0,217,669,6,1934-01-01,D,6964,2022-08-05,,85,online,2022-10-26 20:28:28,/bolig/1919281/primulavej_10_2720_vanloese
1919735,"Ådalsvej 12, st..",2720 Vanløse,Villalejlighed,8195000,68291,0.0,120,0,4,1934-01-01,D,4034,2022-08-08,,82,online,2022-10-26 20:28:28,/bolig/1919735/aadalsvej_12_st_2720_vanloese
1921160,Tybjergvej 47,2720 Vanløse,Villalejlighed,5450000,46982,0.0,116,0,4,2022-01-01,A20,4078,2022-08-12,,78,online,2022-10-26 20:28:28,/bolig/1921160/tybjergvej_47_2720_vanloese
1921950,"Bratskovvej 1A, st.. th.",2720 Vanløse,Ejerlejlighed,4495000,54156,0.0,83,0,4,1937-01-01,E,2918,2022-08-16,,74,online,2022-10-26 20:28:28,/bolig/1921950/bratskovvej_1a_st_th_2720_vanloese
1922496,"Markskellet 10, 3. tv.",2720 Vanløse,Ejerlejlighed,6495000,29522,-0.13,220,4791,6,1932-01-01,D,6636,2022-08-17,,73,online,2022-10-26 20:28:28,/bolig/1922496/markskellet_10_3_tv_2720_vanloese
1922749,"Ålekistevej 53, 1. 10.",2720 Vanløse,Ejerlejlighed,1598000,39950,-0.03,40,0,1,1974-01-01,D,3047,2022-08-18,,72,online,2022-10-26 20:28:28,/bolig/1922749/aalekistevej_53_1_10_2720_vanloese
1922770,"Himmerlandsvej 31, 2. TV",2720 Vanløse,Ejerlejlighed,2695000,38500,-0.05,70,0,4,1932-01-01,D,2224,2022-08-18,,72,online,2022-10-26 20:28:28,/bolig/1922770/himmerlandsvej_31_2_tv_2720_vanloese
1922927,Toftøjevej 25A,2720 Vanløse,Villa,7495000,74950,-0.03,100,706,5,1943-01-01,C,8160,2022-08-18,,72,online,2022-10-26 20:28:28,/bolig/1922927/toftoejevej_25a_2720_vanloese
1924397,"Ådalsvej 23A, st.. th.",2720 Vanløse,Ejerlejlighed,1998000,37698,-0.09,53,0,2,1935-01-01,D,2363,2022-08-24,,66,online,2022-10-26 20:28:28,/bolig/1924397/aadalsvej_23a_st_th_2720_vanloese
1924338,Flakholmen 30 1 tv,2720 Vanløse,Ejerlejlighed,3195000,48409,0.0,66,0,3,1940-01-01,D,2879,2022-08-23,,67,online,2022-10-26 20:28:28,/bolig/1924338/flakholmen_30_1_tv_2720_vanloese
1924505,Dønnerupvej 11,2720 Vanløse,Villa,4998000,42355,-0.05,118,436,4,1966-01-01,D,5130,2022-08-24,,66,online,2022-10-26 20:28:28,/bolig/1924505/doennerupvej_11_2720_vanloese
1925287,"Slotsherrensvej 76, 1.",2720 Vanløse,Ejerlejlighed,2745000,44274,-0.05,62,309,4,1919-01-01,C,2381,2022-08-26,,64,online,2022-10-26 20:28:28,/bolig/1925287/slotsherrensvej_76_1_2720_vanloese
1925347,Lønstrupvej 92,2720 Vanløse,Villa,9995000,62080,0.0,161,691,5,1937-01-01,D,7614,2022-08-26,,64,online,2022-10-26 20:28:28,/bolig/1925347/loenstrupvej_92_2720_vanloese
1925549,"Langdraget 31, 2. tv.",2720 Vanløse,Ejerlejlighed,2198000,39250,0.0,56,0,2,1935-01-01,D,3121,2022-08-27,,63,online,2022-10-26 20:28:28,/bolig/1925549/langdraget_31_2_tv_2720_vanloese
1925816,"Sallingvej 74, 1. th",2720 Vanløse,Ejerlejlighed,2095000,32734,0.0,64,0,2,1937-01-01,D,3207,2022-08-29,,61,online,2022-10-26 20:28:28,/bolig/1925816/sallingvej_74_1_th_2720_vanloese
1925837,Rebildvej 19,2720 Vanløse,Villa,5650000,52314,0.0,108,344,4,1937-01-01,D,4513,2022-08-29,,61,online,2022-10-26 20:28:28,/bolig/1925837/rebildvej_19_2720_vanloese
1926010,"Hasselvej 1, 2. th.",2720 Vanløse,Ejerlejlighed,2270000,39824,-0.05,57,0,2,1935-01-01,F,2745,2022-08-30,,60,online,2022-10-26 20:28:28,/bolig/1926010/hasselvej_1_2_th_2720_vanloese
1927034,"Vinkelager 15, ST. MF",2720 Vanløse,Ejerlejlighed,1495000,40405,-0.06,37,0,1,1957-01-01,D,1863,2022-09-01,,58,online,2022-10-26 20:28:28,/bolig/1927034/vinkelager_15_st_mf_2720_vanloese
1927065,"Bratskovvej 17, st.",2720 Vanløse,Villalejlighed,5998000,54527,-0.1,110,682,4,1925-01-01,F,3434,2022-09-01,,58,online,2022-10-26 20:28:28,/bolig/1927065/bratskovvej_17_st_2720_vanloese
